time Hut Table
626.6179586167 26.96 29.56
627.619145 26.96 29.56
628.6197169333 26.97 29.57
629.6210546667 26.97 29.57
630.6218431 26.97 29.56
631.6226013 26.98 29.56
632.6242659 26.97 29.57
633.6251219833 26.96 29.56
634.6262549833 26.96 29.56
635.6264804833 26.96 29.59
636.6267804333 26.96 29.57
637.6269070333 26.96 29.56
638.6282864667 26.96 29.57
639.6297828 26.96 29.59
640.6311770667 26.96 29.56
641.6325678 26.96 29.55
642.3389056667 26.96 29.56
643.0522444 26.96 29.55
644.05347775 26.97 29.56
645.0537921 26.95 29.54
646.0540823667 26.95 29.55
647.0548685333 26.96 29.55
648.0564918167 26.95 29.55
649.057826 26.95 29.56
650.0594097167 26.95 29.56
651.0606759667 26.95 29.55
652.06078475 26.96 29.55
653.0622516167 26.95 29.55
654.0627418 26.94 29.53
655.0639182667 26.94 29.54
656.0653886833 26.94 29.53
657.06699405 26.93 29.53
658.0672622667 26.93 29.55
659.0689216 26.94 29.54
660.0691606 26.93 29.54
661.0699719167 26.94 29.53
662.07010355 26.94 29.54
663.0701725167 26.94 29.53
664.0702430167 26.94 29.52
665.0714807667 26.93 29.53
666.0717211333 26.93 29.54
667.0733455833 26.94 29.53
668.0734700667 26.95 29.54
669.0746558667 26.92 29.52
670.0749430833 26.93 29.53
671.07620005 26.93 29.52
672.0774404333 26.94 29.53
673.0775530167 26.93 29.53
674.07905685 26.93 29.52
675.0795620167 26.94 29.53
676.079955 26.93 29.52
677.0814276833 26.93 29.52
678.0827585167 26.94 29.53
679.0830536167 26.93 29.53
680.0840088 26.93 29.52
681.0845395833 26.94 29.53
682.0847174167 26.95 29.51
683.0857788333 26.93 29.53
684.0862873167 26.94 29.54
685.086959 26.93 29.52
686.08751635 26.92 29.52
687.0888878167 26.93 29.53
688.0896749 26.94 29.52
689.0912774833 26.93 29.51
690.0928450667 26.95 29.51
691.0933101667 26.94 29.51
692.0938176667 26.94 29.51
693.0941674333 26.94 29.51
694.0948753167 26.93 29.52
695.0963035167 26.94 29.53
696.0979739833 26.92 29.52
697.098592 26.91 29.51
698.0992751833 26.92 29.51
699.1001729333 26.92 29.51
700.1017207167 26.91 29.51
701.1017545833 26.93 29.52
702.1030938 26.92 29.5
703.1032795167 26.92 29.51
703.64635875 26.92 29.52
704.17384375 26.92 29.51
705.1746187667 26.94 29.52
706.1749523833 26.93 29.52
707.1761855833 26.92 29.52
708.1770080167 26.92 29.52
709.17798395 26.93 29.52
710.1782430333 26.91 29.51
711.1789138167 26.92 29.51
712.1792621833 26.9 29.52
713.1808151 26.91 29.51
714.18184885 26.93 29.51
715.1823023333 26.92 29.52
716.1827422833 26.91 29.5
717.1828789333 26.9 29.5
718.1842852333 26.9 29.49
719.1848916833 26.92 29.51
720.18613115 26.92 29.51
721.1866734333 26.92 29.51
722.1876066333 26.93 29.5
723.18799035 26.93 29.51
724.1890283 26.95 29.52
725.19002795 26.94 29.52
726.19155275 26.92 29.51
727.1919042333 26.92 29.51
728.19242745 26.92 29.51
729.1939302167 26.92 29.52
730.1941913667 26.92 29.51
731.1947046667 26.9 29.51
732.1950402 26.91 29.51
733.1952168167 26.92 29.51
734.1957464667 26.92 29.5
735.1961179167 26.92 29.5
736.1971863167 26.92 29.52
737.1985318833 26.92 29.51
738.2000816833 26.91 29.51
739.2017208833 26.92 29.51
740.2028664833 26.92 29.49
741.2044011833 26.93 29.53
742.20537835 26.92 29.51
743.2066374167 26.92 29.51
744.2077300333 26.92 29.51
745.2085151167 26.92 29.52
746.2087293167 26.92 29.52
747.2089483 26.92 29.53
748.2105337667 26.92 29.52
749.2116555 26.92 29.53
750.2128765 26.93 29.53
751.21417575 26.91 29.52
752.21469535 26.92 29.53
753.2154481833 26.93 29.52
754.2164939333 26.93 29.53
755.2167818167 26.93 29.51
756.2175512667 26.93 29.52
757.21912095 26.93 29.51
758.2193505 26.93 29.51
759.21965685 26.93 29.52
760.2209012333 26.93 29.51
761.2224360333 26.93 29.51
762.2238492667 26.93 29.49
763.2239618167 26.93 29.5
764.2242658167 26.93 29.51
765.2258980667 26.93 29.51
766.22653745 26.93 29.52
767.2267210667 26.93 29.51
768.2275127167 26.91 29.51
769.2290726 26.92 29.5
769.9745664667 26.91 29.51
770.7159768667 26.91 29.5
771.7169361333 26.92 29.49
772.7185035333 26.92 29.5
773.7195246667 26.92 29.5
774.7211160167 26.92 29.49
775.7213029667 26.91 29.51
776.7220485833 26.92 29.49
777.7220867833 26.92 29.49
778.7233890167 26.92 29.5
779.7237802 26.94 29.5
780.7373870667 26.94 29.51
781.7383497333 26.93 29.49
782.7568615333 26.92 29.5
783.7693724167 26.92 29.48
784.7708608 26.92 29.51
785.77176915 26.92 29.51
786.7755604667 26.92 29.51
787.7787317833 26.93 29.51
788.7794777833 26.94 29.52
789.78051265 26.94 29.5
790.7821383167 26.93 29.5
791.7824922 26.93 29.51
792.7831175333 26.94 29.48
793.7840558 26.94 29.53
794.78433 26.93 29.51
795.7843988833 26.93 29.51
796.7857055333 26.92 29.51
797.7869622167 26.93 29.5
798.78747025 26.93 29.5
799.788715 26.94 29.5
800.7892005833 26.93 29.49
801.7895817833 26.94 29.5
802.79008875 26.93 29.51
803.791665 26.93 29.51
804.7923140167 26.94 29.5
805.7932535667 26.94 29.49
806.79376465 26.93 29.5
807.7947410167 26.93 29.5
808.7951911333 26.92 29.5
809.80724695 26.93 29.49
810.8088913 26.92 29.5
811.8100308333 26.93 29.5
812.8103263833 26.93 29.5
813.81121955 26.92 29.51
814.811953 26.91 29.51
815.8129573333 26.93 29.5
816.8145956333 26.92 29.49
817.8150831667 26.91 29.5
818.8155508 26.9 29.5
819.8159138167 26.91 29.5
820.8162659833 26.9 29.5
821.81782705 26.9 29.49
822.8182551667 26.9 29.48
823.8195108167 26.9 29.48
824.82082875 26.9 29.48
825.8210994 26.9 29.48
826.8225312 26.9 29.48
827.82301945 26.9 29.49
828.8237470667 26.89 29.5
829.8245299 26.89 29.49
830.8256663667 26.9 29.48
831.8266661333 26.9 29.5
832.8278749333 26.9 29.51
833.82820345 26.89 29.48
834.8288466667 26.91 29.49
835.8293336667 26.9 29.5
836.0479297833 26.9 29.5
836.45898805 26.91 29.5
837.4600332333 26.89 29.5
838.4602492667 26.91 29.49
839.4618757333 26.9 29.49
840.4628659833 26.89 29.49
841.4645439333 26.9 29.49
842.4653640667 26.9 29.49
843.4660211167 26.91 29.49
844.467233 26.9 29.48
845.4674495 26.91 29.49
846.4674694167 26.91 29.5
847.4676348833 26.91 29.5
848.46898645 26.9 29.51
849.4690012 26.91 29.49
850.4702148667 26.91 29.5
851.4715986167 26.91 29.49
852.4723358833 26.91 29.49
853.472943 26.9 29.49
854.4733727167 26.9 29.49
855.4736177667 26.89 29.49
856.4747938833 26.88 29.49
857.4759413667 26.89 29.48
858.4763319333 26.89 29.48
859.4773981 26.9 29.47
860.4786735333 26.91 29.47
861.48013555 26.9 29.47
862.4816924833 26.9 29.47
863.4820659167 26.9 29.47
864.4829715 26.91 29.47
865.4833168333 26.91 29.48
866.48447095 26.9 29.49
867.4855512167 26.9 29.48
868.4871021833 26.92 29.48
869.4871968333 26.9 29.48
